t(s),E(s),F(s),theta,E(theta),F(theta)
155.4,0.005330024,0.2894397,0.7142551,1.159878,0.2894397
156,0.005264571,0.292618,0.7170128,1.145318,0.292618
156.6,0.005396031,0.2958162,0.7197706,1.173621,0.2958162
157.2,0.005646154,0.2991289,0.7225283,1.228073,0.2991289
157.8,0.005464534,0.3024621,0.7252861,1.188721,0.3024621
158.4,0.005482272,0.3057461,0.7280438,1.19315,0.3057461
159,0.005552927,0.3090567,0.7308015,1.20864,0.3090567
159.6,0.005542336,0.3123853,0.7335593,1.206047,0.3123853
160.2,0.005601208,0.3157283,0.736317,1.218871,0.3157283
160.8,0.00560338,0.3190897,0.7390747,1.219438,0.3190897
161.4,0.005643682,0.3224638,0.7418325,1.228388,0.3224638
162,0.005521128,0.3258133,0.7445902,1.202004,0.3258133
162.6,0.005352266,0.3290753,0.747348,1.164621,0.3290753
163.2,0.005612397,0.3323647,0.7501057,1.221473,0.3323647
163.8,0.005729877,0.3357674,0.7528635,1.247513,0.3357674
164.4,0.005584763,0.3391618,0.7556212,1.215514,0.3391618
165,0.005628507,0.3425257,0.758379,1.225417,0.3425257
165.6,0.005810309,0.3459574,0.7611367,1.265092,0.3459574
166.2,0.00571987,0.3494164,0.7638944,1.245575,0.3494164
166.8,0.005687878,0.3528387,0.7666522,1.238198,0.3528387
167.4,0.005727313,0.3562633,0.7694099,1.246614,0.3562633
168,0.005483208,0.3596265,0.7721676,1.193361,0.3596265
168.6,0.005326239,0.3628693,0.7749254,1.159425,0.3628693
169.2,0.005377087,0.3660803,0.7776831,1.170211,0.3660803
169.8,0.005375716,0.3693061,0.7804409,1.169731,0.3693061
170.4,0.005598869,0.3725985,0.7831986,1.217887,0.3725985
171,0.005661736,0.3759767,0.7859564,1.231659,0.3759767
171.6,0.005635699,0.3793659,0.7887141,1.22594,0.3793659
172.2,0.005385924,0.3826724,0.7914718,1.171552,0.3826724
172.8,0.005512103,0.3859418,0.7942296,1.198449,0.3859418
173.4,0.005358166,0.3892029,0.7969873,1.165297,0.3892029
174,0.005128686,0.392349,0.7997451,1.115449,0.392349
174.6,0.005058055,0.395405,0.8025028,1.100195,0.395405
175.2,0.004943585,0.3984055,0.8052606,1.075356,0.3984055
175.8,0.005098903,0.4014182,0.8080183,1.109133,0.4014182
176.4,0.005080841,0.4044721,0.8107761,1.105339,0.4044721
177,0.005028574,0.407505,0.8135338,1.093836,0.407505
177.6,0.005084547,0.4105389,0.8162915,1.106268,0.4105389
178.2,0.005063115,0.4135832,0.8190492,1.101949,0.4135832
178.8,0.00505142,0.4166176,0.821807,1.099518,0.4166176
